14	2.79
15	3.04
16	3.29
17	3.51
18	3.75
19	4.02
20	4.28
21	4.48
22	4.73
23	5.00
24	5.27
25	5.50
26	5.70
27	5.99
28	6.25
29	6.48
30	6.71
31	6.96
32	7.26
33	7.48
34	7.70
35	7.96
36	8.28
37	8.49
38	8.69
39	8.95
40	9.27
41	9.49
42	9.69
43	9.95
44	10.27
45	10.57
46	10.71
47	10.96
48	11.25
49	11.58
50	11.74
51	11.96
52	12.19
53	12.59
54	12.81
55	12.98
56	13.17
57	13.51
58	13.86
59	14.04
60	14.21
61	14.43
62	14.86
63	15.17
64	15.26
65	15.46
66	15.73
67	16.15
68	16.29
69	16.56
70	16.66
71	17.11
72	17.46
73	17.58
74	17.65
75	17.92
76	18.49
77	18.67
78	18.74
79	18.92
80	19.33
81	19.78
82	19.79
83	19.90
84	20.16
85	20.74
86	20.83
87	21.01
88	21.16
89	21.69
90	22.05
91	21.97
92	22.15
93	22.40
94	23.04
95	23.16
96	23.14
97	23.39
98	24.00
99	24.38
100	24.33
101	24.38
102	24.75
103	25.31
104	25.47
105	25.55
106	25.61
107	25.97
108	26.70
109	26.87
110	26.79
111	26.77
112	27.37
113	27.83
114	27.97
115	27.94
116	28.01
117	28.55
118	29.22
119	29.35
120	29.13
121	29.32
122	29.95
123	30.44
124	30.38
125	30.36
126	30.54
127	31.12
128	31.70
129	31.76
130	31.56
131	31.91
132	32.53
133	32.96
134	33.01
135	32.83
136	33.09
137	33.69
138	34.24
139	34.17
140	33.94
141	34.31
142	34.98
143	35.46
144	35.68
